,wins,losses,goals,total_yel_card,total_red_card,total_scoring_att,ontarget_scoring_att,hit_woodwork,att_hd_goal,att_pen_goal,att_freekick_goal,att_ibox_goal,att_obox_goal,goal_fastbreak,total_offside,clean_sheet,goals_conceded,saves,outfielder_block,interception,total_tackle,last_man_tackle,total_clearance,head_clearance,own_goals,penalty_conceded,pen_goals_conceded,total_pass,total_through_ball,total_long_balls,backward_pass,total_cross,corner_taken,touches,big_chance_missed,clearance_off_line,dispossessed,penalty_save,total_high_claim,punches
Brentford,13.0,18.0,48.0,61.0,3.0,442.0,155.0,12.0,11.0,6.0,0.0,45.0,3.0,1.0,66.0,9.0,56.0,129.0,113.0,393.0,607.0,2.0,809.0,413.0,2.0,5.0,5.0,14604.0,50.0,2335.0,2198.0,640.0,159.0,21619.0,37.0,4.0,291.0,0.0,37.0,12.0
Newcastle United,13.0,15.0,44.0,79.0,2.0,449.0,149.0,7.0,9.0,3.0,4.0,37.0,7.0,3.0,71.0,8.0,62.0,107.0,162.0,360.0,659.0,2.0,743.0,394.0,2.0,6.0,5.0,12503.0,31.0,2257.0,1869.0,592.0,160.0,19609.0,28.0,6.0,359.0,1.0,30.0,7.0
Brighton and Hove Albion,12.0,11.0,42.0,73.0,2.0,489.0,152.0,12.0,8.0,4.0,0.0,34.0,8.0,2.0,53.0,11.0,44.0,104.0,150.0,358.0,668.0,3.0,684.0,358.0,1.0,4.0,3.0,18835.0,58.0,2182.0,3069.0,728.0,200.0,26153.0,40.0,4.0,349.0,0.0,60.0,12.0
Crystal Palace,11.0,12.0,50.0,67.0,1.0,412.0,147.0,11.0,6.0,6.0,1.0,45.0,5.0,2.0,63.0,12.0,46.0,101.0,135.0,333.0,636.0,4.0,731.0,360.0,2.0,5.0,3.0,17309.0,40.0,2292.0,2829.0,643.0,175.0,25012.0,33.0,2.0,471.0,1.0,29.0,21.0
Everton,11.0,21.0,43.0,78.0,6.0,437.0,138.0,8.0,8.0,6.0,0.0,38.0,7.0,3.0,53.0,8.0,66.0,128.0,140.0,365.0,705.0,4.0,775.0,379.0,5.0,3.0,2.0,12944.0,30.0,2203.0,1960.0,653.0,161.0,20360.0,24.0,2.0,325.0,0.0,27.0,25.0
Leeds United,9.0,18.0,42.0,101.0,3.0,485.0,154.0,18.0,4.0,5.0,1.0,33.0,9.0,0.0,63.0,5.0,79.0,147.0,143.0,395.0,786.0,1.0,604.0,268.0,1.0,6.0,5.0,16503.0,66.0,2120.0,2306.0,648.0,170.0,24043.0,37.0,7.0,298.0,0.0,24.0,19.0
Southampton,9.0,16.0,43.0,63.0,2.0,482.0,170.0,10.0,9.0,4.0,4.0,34.0,9.0,3.0,42.0,8.0,67.0,118.0,132.0,446.0,602.0,0.0,761.0,344.0,2.0,2.0,2.0,15288.0,45.0,2085.0,2355.0,711.0,233.0,22727.0,42.0,6.0,365.0,0.0,43.0,21.0
Burnley,7.0,17.0,34.0,68.0,2.0,407.0,125.0,15.0,11.0,1.0,1.0,30.0,4.0,1.0,101.0,9.0,53.0,129.0,211.0,411.0,589.0,3.0,832.0,417.0,2.0,5.0,5.0,12319.0,32.0,2619.0,1999.0,747.0,183.0,19501.0,37.0,9.0,290.0,0.0,48.0,17.0
Watford,6.0,27.0,34.0,57.0,3.0,399.0,127.0,11.0,8.0,1.0,0.0,34.0,0.0,2.0,54.0,4.0,77.0,117.0,148.0,444.0,614.0,4.0,866.0,457.0,3.0,8.0,6.0,13046.0,35.0,2363.0,2005.0,610.0,161.0,20559.0,39.0,5.0,389.0,1.0,28.0,9.0
Norwich City,5.0,26.0,23.0,55.0,1.0,373.0,109.0,9.0,5.0,3.0,0.0,20.0,3.0,1.0,55.0,6.0,84.0,142.0,180.0,381.0,614.0,4.0,816.0,419.0,2.0,12.0,9.0,14466.0,50.0,2165.0,2289.0,568.0,165.0,21530.0,27.0,10.0,313.0,2.0,19.0,20.0
